origin,destination,distance_km,time_of_day,day_of_week,traffic_level,avg_historical_eta_min,num_past_trips,on_time_ratio,eta_min
5,10,11.689310043490543,0,6,0,15.780568558712234,169,0.7,13.10868642364996
38,2,33.48345732747031,17,5,1,79.787730465629,93,0.76,87.77076626143128
33,31,38.57621449483785,5,2,2,85.17628160460197,140,0.73,92.33718938935185
22,34,9.165171008395246,17,0,0,17.514641797043318,192,0.82,24.64009482411091
22,38,3.149055887477883,13,1,0,5.006998861089834,14,0.94,5.4177404879933775
43,47,22.539781389765597,4,1,0,35.16205896803434,26,0.9099999999999999,34.79573403366509
5,25,38.92718021362942,11,2,1,75.90800141657738,184,0.85,78.88146169405212
35,41,32.88821194313299,0,6,2,72.61717197043764,115,0.73,85.00758282315171
10,36,35.39220430031497,16,0,1,91.51362265932443,125,0.8799999999999999,94.80696416043321
5,14,20.739127659675052,7,4,1,51.522214844930744,71,0.82,49.77567962105422
26,42,12.512331717400423,9,2,2,36.696166460791964,166,0.76,44.84285454856749
48,3,27.057163320945865,3,0,0,38.96231518216204,131,0.7899999999999999,46.02782215269014
37,30,11.013918993710647,8,4,2,30.9270845343395,55,0.7,36.22619306342723
38,47,36.58520615226822,9,4,0,74.19479807679996,131,0.9099999999999999,72.26910666081805
36,33,10.651356342014374,5,6,0,15.337953132500695,5,0.7899999999999999,7.339787572696245
39,46,15.271900069002731,23,3,2,37.38561136891868,51,0.8799999999999999,33.80024812297634
26,3,25.820694137827264,6,2,1,48.33633942601264,44,0.7899999999999999,54.02161624744069
7,27,24.848786773031254,4,5,1,50.39333957570739,158,0.9099999999999999,52.92917902207402
42,39,30.44161944394444,13,1,0,49.31542349918999,148,0.97,48.12291450726255
23,32,22.43478542449593,7,4,1,53.45985018803137,22,0.76,59.37490054421499
25,44,46.05419211699448,10,6,2,108.31945985917103,181,0.82,120.28676138140042
19,23,42.156770615662225,17,0,0,78.91747459251968,164,0.7899999999999999,88.6738688830655
9,34,44.076559110595284,1,6,0,64.79254189257507,89,0.82,67.31349360163037
46,21,31.84631199876844,12,1,0,43.94791055830044,46,0.73,56.89535122591314
39,43,32.115387877179515,0,3,1,60.120006106080055,86,0.7899999999999999,61.96675492352126
32,6,30.850735502081484,1,1,2,75.52260050909547,119,0.8799999999999999,71.40324690830309
20,13,22.309323566651354,2,1,0,32.125425935977944,127,0.7899999999999999,33.6061565733043
41,5,16.78319405229587,3,4,2,40.279665725510085,72,0.85,39.21213516321364
27,35,30.008141484994646,8,3,2,93.6254014331833,24,0.85,95.3393686327181
22,12,2.251060019784065,22,3,1,4.126193016264191,123,0.76,6.994538345634062
23,16,1.3653651397663487,21,3,2,3.3424138621480215,142,0.8799999999999999,5.0
12,41,42.73044948854068,2,5,2,94.34883247069783,57,0.73,108.06605472335316
5,18,3.274778194103487,23,6,2,8.331035725799273,129,0.94,8.130225726465264
28,8,26.714962366337485,15,3,1,55.21982721121959,115,0.94,45.78233025480604
44,2,31.134400384532608,13,1,0,43.899504542190975,102,0.76,44.39749588073106
4,12,10.710390251499344,19,2,2,24.162640407382522,6,0.76,25.782839764282887
43,45,44.89081107499227,11,3,1,87.53708159623493,64,0.85,87.63440764007876
41,27,10.314692815670375,6,0,0,16.090920792445786,78,0.9099999999999999,15.055173468090308
14,49,44.34123438096706,12,1,2,114.93247951546664,167,0.97,111.26986142823115
31,11,38.38652319731872,17,1,1,89.52504940078674,166,0.73,102.34121897350435
